ОАО;;02.10.2023;;;;;;;;
МТК;;;;;;;;;;
;;                       Лактация 1;;;               Лактация 2;;;                     Лактация 3+;;
;DIM;Кол-во;Прод-ть;M305P;Кол-во;Прод-ть;M305P;Кол-во;Прод-ть;M305P
;<30;0 ;0,0;0;0 ;0,0;0;0 ;0,0;0
;31–60;24 ;29,0;6763;17 ;40,2;7152;47 ;42,8;8192
;61–90;31 ;33,6;7920;15 ;50,3;10809;22 ;47,2;9373
;91–120;24 ;33,3;7561;14 ;49,2;10596;24 ;50,2;10688
;121–150;23 ;35,7;8327;16 ;44,1;11160;17 ;47,4;11568
;151–180;25 ;35,6;9005;20 ;43,9;11615;19 ;41,9;10439
;181–210;21 ;36,6;9598;17 ;42,4;11451;23 ;38,8;10824
;211–240;27 ;35,0;9422;14 ;40,9;12379;18 ;39,2;11873
;241–270;24 ;33,6;9933;18 ;38,3;12042;27 ;36,4;12156
;271–300;21 ;31,7;9654;22 ;33,1;12138;21 ;36,9;12587
;301–330;10 ;33,3;0;20 ;31,9;12395;22 ;32,0;12289
;331–360;9 ;32,3;9980;13 ;33,9;12634;14 ;30,2;12155
;>360;36 ;27,4;9705;24 ;26,6;13212;45 ;22,6;11617
;All;275 ;32,9;8900;210 ;38,8;11543;299 ;38,0;10907
;Разница:;;;;;;2642;;;-635
;Структура стада:;35,1%;;;26,8%;;;38,1%;;
;;;;;;;;;;
;Milk;Лакт 1;Лакт 2;Лакт 3+;Все;%;;;Кол-во ;%
;0-10л;1;1;10;12;2%;;0-60;88;11%
;11-15л;0;1;6;7;1%;;61-120;130;17%
;16-20л;3;3;19;25;3%;;121-200;160;20%
;21-25л;24;9;19;52;7%;;201-305;225;29%
;26-30л;55;32;24;111;14%;;св. 305;181;23%
;31-35л;90;37;41;168;21%;;;;
;36-40л;67;27;38;132;17%;Среднесуточная продуктивность;;;36,40
;40-45л;34;39;33;106;14%;Стадо в днях доения;;среднее;226
;св.45л;1;61;109;171;22%;;;медиана;209
;;275;210;299;784;;Кол-во дойных коров;;;784
