;;;;;;;;;;;;
Номер группы;Название группы;Кол-во;Ср. прод-ть;Дней в доении;StD;Молоко min;Молоко max;DIM min;DIM max;Потребление СВ;Конверсия;
1;0;117;34,4;115;4,38;23;44,6;49;192;0,00;0,00;
2;0;71;35,9;92;10,73;9,5;63;35;663;0,00;0,00;
3;0;0;0,0;0;0,00;0;0;0;0;0,00;0,00;
4;0;213;48,3;161;6,48;33,3;67,7;50;408;0,00;0,00;
5;0;76;26,3;358;5,75;8;38,5;241;722;0,00;0,00;
6;0;0;0,0;0;0,00;0;0;0;0;0,00;0,00;
7;0;204;34,4;256;6,75;0,7;51,4;53;524;0,00;0,00;
8;0;86;25,8;452;8,16;6,2;42,3;154;1069;0,00;0,00;
9;0;0;0,0;0;0,00;0;0;0;0;0,00;0,00;
10;0;0;0,0;0;0,00;0;0;0;0;0,00;0,00;
11;0;10;28,0;288;10,31;11,5;44,8;59;746;0,00;0,00;
12;0;0;0,0;0;0,00;0;0;0;0;0,00;0,00;
13;0;0;0,0;0;0,00;0;0;0;0;0,00;0,00;
14;0;0;0,0;0;0,00;0;0;0;0;0,00;0,00;
15;0;7;22,9;221;16,42;0,8;43,5;84;469;0,00;0,00;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Кол-во;%;;;;;;;;;
;1;275;35%;;;;;;;;;
;2;210;27%;;;;;;;;;
;3;115;15%;;;;;;;;;
;4;95;12%;;;;;;;;;
;5;51;7%;;;;;;;;;
;6;23;3%;;;;;;;;;
;7;10;1%;;;;;;;;;
;8;5;1%;;;;;;;;;
;9;0;0%;;;;;;;;;
;10;0;0%;;;;;;;;;
