;;;;;;;;;;;;;;;;;;;;;
;                       Лактация 1;;;               Лактация 2;;;Всего стада;;;;Плановая продуктивность;10664;9500 за 305дн;;;;;;;;
DIM;Кол-во;Прод-ть;Скользящая средняя;Кол-во;Прод-ть;Скользящая средняя;Кол-во;Прод-ть;Скользящая средняя;;Длина лактации;305;;;;;;;;;
0-10;0 ;0,00;0,00;0 ;0,00;0,00;0 ;0,00;0,00;;26,91;5;;;;Диапазон от 0 до 150;;;a;scale;54,5
11-20;0 ;0,00;0,00;0 ;0,00;0,00;0 ;0,00;0,00;;33,11;15;;;;Диапазон от 0 до 60;;;b;Ramp;33
21-30;0 ;0,00;7,50;0 ;0,00;0,00;0 ;0,00;0,00;;37,23;25;;;;Диапазон от -5 до +6;;;c;offset;5
31-40;2 ;22,50;16,65;8 ;35,39;11,80;16 ;32,32;10,77;;39,87;35;;;;Диапазон от 0 до 0,01;;;d;Decay;0,0025
41-50;13 ;27,44;27,55;2 ;44,75;26,71;38 ;36,81;23,04;;41,46;45;;;;;;;;;
51-60;9 ;32,72;31,38;7 ;44,43;41,52;34 ;43,43;37,52;;42,28;55;;;;;;;305;365;
61-70;15 ;33,98;33,63;9 ;52,93;47,37;31 ;41,25;40,50;;42,57;65;;;;;;6000;32,7;29,2;
71-80;7 ;34,20;33,53;3 ;48,77;48,71;15 ;43,83;42,84;;42,47;75;;;;;;6500;35,5;31,8;
81-90;9 ;32,42;34,30;3 ;44,10;48,60;22 ;40,79;41,96;;42,12;85;;;;;;7000;38,2;34,2;
91-100;6 ;36,27;34,01;8 ;51,08;47,98;22 ;49,51;44,71;;41,57;95;;;;;;7500;41;36,6;
101-110;7 ;33,33;33,75;5 ;45,72;46,97;18 ;40,58;43,63;;40,91;105;;;;;;8000;43,8;39,2;
111-120;11 ;31,65;33,79;1 ;51,00;49,27;22 ;39,63;43,24;;40,15;115;;;;;;8500;46,5;41,5;
121-130;10 ;36,39;34,87;3 ;44,10;46,94;15 ;39,43;39,88;;39,35;125;;;;;;9000;49,2;44;
131-140;9 ;36,58;34,92;1 ;41,60;45,57;20 ;41,51;40,19;;38,51;135;;;;;;9500;51,8;46,4;
141-150;4 ;31,80;33,83;12 ;44,33;43,34;21 ;43,31;41,42;;37,66;145;;;;;;10000;54,5;49;
151-160;5 ;33,10;33,66;5 ;46,88;44,27;16 ;41,34;42,05;;36,80;155;;;;;;10500;57,2;51,3;
161-170;9 ;36,08;35,14;8 ;40,83;44,01;24 ;39,52;41,39;;35,94;165;;;;;;11000;60;53,7;
171-180;11 ;36,24;36,82;7 ;45,40;44,37;24 ;39,73;40,19;;35,09;175;;;;;;11500;62,7;56,2;
181-190;5 ;38,16;37,15;9 ;44,83;43,69;20 ;41,80;40,35;;34,25;185;;;;;;12000;65,5;58,6;
191-200;9 ;37,07;36,72;5 ;41,44;43,89;20 ;37,79;39,77;;33,42;195;;;;;;12500;68,2;61;
201-210;7 ;34,94;35,44;3 ;36,57;40,95;21 ;37,68;39,09;;32,61;205;;;;;;13000;71;63,5;
211-220;10 ;34,31;35,04;5 ;42,34;40,12;20 ;39,45;38,31;;31,81;215;;;;;;;;;
221-230;10 ;35,87;34,93;8 ;38,76;39,22;22 ;37,40;38,18;;31,03;225;;;;;;;;;
231-240;7 ;34,60;33,84;1 ;51,10;44,07;17 ;35,89;37,58;;30,27;235;;;;;;;;;
241-250;2 ;31,05;33,22;5 ;46,26;45,37;18 ;40,16;37,81;;29,53;245;;;;;;;;;
251-260;10 ;34,00;32,90;4 ;35,43;44,26;18 ;34,66;36,90;;28,80;255;;;;;;;;;
261-270;12 ;33,65;32,97;9 ;35,21;38,97;33 ;34,28;36,37;;28,09;265;;;;;;;;;
271-280;8 ;31,25;32,72;8 ;34,34;34,99;25 ;33,62;34,19;;27,40;275;;;;;;;;;
281-290;6 ;33,25;31,78;8 ;31,00;33,52;20 ;33,84;33,91;;26,72;285;;;;;;;;;
291-300;7 ;30,83;30,55;6 ;34,15;33,16;19 ;34,26;33,91;;26,07;295;;;;;;;;;
301-310;3 ;27,57;31,38;8 ;34,61;33,25;17 ;33,22;33,77;;25,42;305;;;;;;;;;
311-320;4 ;35,75;33,01;2 ;25,40;31,39;13 ;30,05;32,51;;24,80;315;;;;;;;;;
321-330;3 ;35,70;36,15;10 ;31,10;30,37;22 ;32,72;32,00;;24,18;325;;;;;;;;;
331-340;2 ;37,00;;2 ;30,00;28,83;11 ;32,34;31,70;;23,59;335;;;;;;;;;
341-350;3 ;28,87;;9 ;34,39;31,83;16 ;31,80;32,28;;23,00;345;;;;;;;;;
351-360;4 ;32,58;;2 ;35,30;33,23;9 ;32,17;32,10;;22,44;355;;;;;;;;;
361-370;5 ;29,14;;1 ;25,30;31,66;8 ;31,48;31,81;;21,88;365;;;;;;;;;
371-380;2 ;27,95;;2 ;30,45;30,35;10 ;27,22;30,29;;21,34;375;;;;;;;;;
381-390;3 ;27,03;;4 ;31,25;29,00;9 ;26,04;28,25;;20,82;385;;;;;;;;;
391-400;0 ;0,00;;0 ;0,00;20,57;1 ;35,90;29,72;;20,30;395;;;;;;;;;
св.400;26 ;27,08;;17 ;25,18;18,81;77 ;24,00;28,65;;19,80;405;;;;;;;;;
;275 ;;;210 ;;;784 ;;;;;;;;;;;;;;
